row ID,row m/z,row retention time,KMRB15070728_neg.mzXML Peak area,KMRB15070723_neg.mzXML Peak area,KMRB16032507_neg.mzXML Peak area,KMRB15070765_neg.mzXML Peak area,KMRB15062619_neg.mzXML Peak area,KMRB15090213_neg.mzXML Peak area,KMRB17070402_neg.mzXML Peak area,KMRB17080804_neg.mzXML Peak area,KMRB15081403_neg.mzXML Peak area,KMRB15031920_neg.mzXML Peak area,KMRB16011417_neg.mzXML Peak area,KMRB16011519_neg.mzXML Peak area,KMRB04050612_neg.mzXML Peak area,KMRB14110709_neg.mzXML Peak area,KMRB18111308_neg.mzXML Peak area,KMRB14091212_neg.mzXML Peak area,KMRB15052235_neg.mzXML Peak area,KMRB15070136_neg.mzXML Peak area,KMRB18042712_neg.mzXML Peak area,KMRB16061604_neg.mzXML Peak area,KMRB15021115_neg.mzXML Peak area,KMRB16051230_neg.mzXML Peak area,KMRB17091811_neg.mzXML Peak area,KMRB15032003_neg.mzXML Peak area,KMRB14101203_neg.mzXML Peak area,KMRB15063021_neg.mzXML Peak area,KMRB15052230_neg.mzXML Peak area,KMRB15071608_neg.mzXML Peak area,KMRB14082260_neg.mzXML Peak area,KMRB16071927_neg.mzXML Peak area,KMRB15080602_neg.mzXML Peak area,KMRB16011521_neg.mzXML Peak area,KMRB15090836_neg.mzXML Peak area,KMRB17061910_neg.mzXML Peak area,KMRB17083132_neg.mzXML Peak area,KMRB16041505_neg.mzXML Peak area,KMRB15102011_neg.mzXML Peak area,KMRB15061217_neg.mzXML Peak area,KMRB14070116_neg.mzXML Peak area,KMRB15090322_neg.mzXML Peak area
2270,492.2720866,6.805700463,6.9795,10.914,15.476,11.108,21.1365,16.15,20.776,19.422,0,5.922,13.8125,16.29215991,54.92491653,8.5,12.3585,54.1315,50.15,13.299,8.307,5.3625,7.704,1611.786143,10.914,40.757,5.7915,4.922,34.5345,27.081,46.387,8.066,35.607,152.2699729,17.16,0,0,0,63.072,5171.52255,50.631,397.5661921
2271,309.2060849,7.049052991,6.9795,33.575,7.844,21.624,12.1125,150.0736148,34.968,5.3375,17.6625,25.32491757,48.357,13.206,29.601,34.782,33.3645,55.22801855,21.087,71.904,16.226,34.5620191,176.0105,460.5816055,13.664,15.0875,694.6175947,472.9445613,35.60250629,543.7812929,27.387,63.06841406,15.729,87.05839429,21.285,55.85099597,34.304,0,53.55,13554.41723,79.191,176.7978884
2272,611.2836445,6.687447009,9.325,13.446,10.044,13.09,14.058,8.2875,22.8795,7.0125,8.692,22.791,26.625,7.8625,13.428,152.0345,0,9.92613739,83.421,7.9735,10.675,17.548,26.88,1237.623704,7.293,9.6075,1240.494315,8.733,30.03,26.291,72.474,16.058,77.952,31.176,6.435,76.8,10.72,28.38,86.65398047,8248.277123,119.9878776,2172.98277
2273,580.3247735,6.29134359,14.35352289,10.272,8.925,10.437,70.863,86.9484397,57.026,10.43,18.744,0,12.383,12.75,94.976,70.12187891,32.452,19.26,39.4975,13.608,10.7,12.89527637,50.94,266.4980067,11.583,16.30913516,439.6367934,50.8725,37.5375,60.33556055,62.8895,6.3365,211.2242924,169.7072515,19.2525,30.628,19.278,56.025,500.7550486,4765.237136,33.656,367.7296408
2274,235.1005854,3.60642619,0,10.8885,7.65,8.56,0,0,0,7.9365,7.293,0,4.34,0,0,7.095,6.88,10.0815,0,8.502,83.9925,16.1465,5.172,507.8186799,6.82,20.5987262,13.578,7.794,21.285,7.5425,34.496,11.83820013,12.7735,132.8365,8.4045,0,0,0,54.027,0,11.6875,4.33
2275,594.3045942,6.290039048,4.8645,7.293,8.268,14.552,22.204,39.3429231,45.133,14.4885,10.675,13.428,32.121,8.346,28.6,74.177,21.468,30.3875,595.4460554,12.312,0,3.843,23.485,1765.805996,4.719,23.518,49.764,0,178.5733867,41.147,48.52433936,29.025,10.75,105.5914265,0,0,11.28,0,257.0631226,8778.919133,2303.644441,860.1990369
2276,327.2169949,5.606647297,10.998,37.516,49.0875,209.5378588,16.692,45.2855,68.5665,33.744,19.55018628,74.01703259,146.5430118,24.282,22.96947537,63.59391302,0,219.9402489,624.0076785,14.256,1986.374044,124.0485,363.3989772,335.6080935,58.6826554,3761.549878,229.2724365,109.472,66.8255,514.9092373,41.54,31.169,95.542,38.58480249,1523.770571,42.56,91.7525,0,33.054,2288.127843,30.862,0
2277,147.0845718,3.65023,0,0,0,0,0,0,0,0,7.259,7.686,0,5.992,0,0,8.62,0,0,0,0,0,27.807,1116.413866,19.14,24.16,0,0,0,0,0,8.0325,0,0,0,0,0,0,0,0,0,4.5255
2278,311.2217636,7.183644017,15.688,30.6,25.016,191.8895752,16.4395,261.6625244,12.9155,8.52,17.452,28.832,18.868,29.181,77.08073215,30.186,0,22.204,22.578,26.6975,15.9375,43.3505,70.965,932.5282677,25.09579102,59.004,691.8277566,547.3520999,162.799,6184.313901,71.7935,29.0925,6.465,104.0735749,27.824,96.841,107.8493604,98.8185,182.3055,454.6323062,100.57,40.557
2279,858.549656,15.38808788,31.001,22.449,35.5215,70.818,48.22,1299.229025,39.128,32.566,21.48,18.1475,18.7075,38.056,113.012,18.19,50.92,24.0975,298.5973363,96.705,11.235,0,27.105,603.4564526,0,28.3285,0,0,94.887,1260.818742,23.134,0,765.2098824,728.432,123.5893576,105.427,150.17,0,241.6775,205636.0093,57.4275,0
2280,243.120609,3.576047917,6.375,66.3145,8.54,19.80677866,23.968,101.3550454,20.235,23.8805,17.6375,547.35,28.4925,22.47,27.83735596,11.067,60.306,57,19.975,81.5815,1569.615293,21.3345,46.624,558.7942383,18.396,193.2500459,78.3,15.8045,751.1085708,64.7885,26.909,75.64538599,70.70756712,373.8756245,10.2225,25.347,128.5393851,447.4461237,160.261,226.6528594,26.145,17.70396161
2281,235.1034298,3.649335484,0,0,16.536,0,15.293,5.577,6.39,38.571,0,8.54,0,0,8.424,7.095,4.708,9.46,12.383,34.9635,10.434,16.1465,13.5765,289.0085281,21.66,36.4762262,8.72,6.976,21.285,0,34.496,10.71,7.161,37.39,29.7165,12.567,0,54.775,54.027,0,43.1525,4.33
2282,329.2322769,5.920670833,8.733,39.75606122,29.256,344.4122422,18.361,307.3885801,6.996,49.6755,21.29559933,501.2011013,89.95,397.802103,52.58357324,36.76594092,17.08,105.5175,235.4295278,15.05,2989.732228,36.2055,50.6915,1107.730059,281.4668606,149.64,2673.723789,13.664,83.226,1178.711534,31.464,46.4325,81.408,87.1815,1784.350129,48.073,20.925,30.96,494.1758481,4605.708763,1177.319421,517.91
2283,842.5549676,17.60567157,53.1,37.1,914.3647113,441.1805078,96.76,3972.877986,88.995,0,0,63.72,0,750.48,411.7151117,39.95,191.065,180.54,1743.575605,322.74,41.3,0,48.38,5577.851187,296.8440021,1511.435227,163.34,117.495,55.82331238,385.452323,30.68,0,14463.40253,4540.857549,91.52965576,340.6637817,241.3409692,0,107.075,199790.9175,70.87,74.655
2284,243.1213628,3.056813333,29.927,7.8995,19.224,10.5105,21.45,11.8525,12.47,30.29,8.346,13.206,9.198,7.74,116.015,40.796,6.206,13.2065,26.75,48.43698505,26.3835,9.6525,103.304,430.2991553,75.9705,84.10177295,70.9288313,19.26698749,10.272,14.654,10.464,79.4265,32.9295,184.23,8.897,16.226,41.993,13.92029103,246.708,25.038,14.6625,16.2325
2285,594.3068796,6.13350125,17.3135,7.293,8.268,9.585,27.738,11.956,23.375,8.2875,17.2835,4.23,32.121,27.86950644,20.592,113.7865614,31.947,30.3875,116.1640693,18.144,15.408,9.159,31.681,463.2899417,15.2295,37.749,151.9940792,9.2235,168.0280948,6.896,52.122,6.96,21.45,279.700955,13.8565,10.71,30.3125,23.9,1369.4855,203.0864559,769.8823414,1637.246417
2286,570.2688735,4.006452083,16.96,12.325,24.339,12.04,74.98305481,17.16,24.1255,10.7,13.6,13.568,71.77242722,7.0785,33.705,23.87,19.26,48.611,21.61532431,12.208,15.762,28.584,23.066,765.1947197,19.929,46.101,2568.723352,14.9245,5516.390555,87.79737415,104.412,12.37805228,17.48937392,1351.13646,39.1645,11.529,36.584,31.3,224.3001563,727.7887764,13.8125,25.776
2287,313.2366295,7.617165417,12.9625,45.262,6.9795,12.75,11.956,20.874,8.5,8.307,8.52,42.2875,35.2925,101.3802529,29.055,29.114,14.552,19.17,20.2825,27.99921497,44.284,17.808,27.2,1045.311883,15.549,73.3395,603.1475505,76.19631177,292.7985,61.00844287,22.949,19.18732608,21.9145,88.91522888,37.35,28.034,48.62,112.5465,97.42233868,2854.340915,412.9076286,179.1385
2288,205.0337688,1.179039583,232.9245,23824.65884,18100.3097,17121.80108,4614.929592,1976.990016,39352.40668,29113.235,10849.10113,4024.5381,1824.376865,1830.909249,12463.46722,6157.836975,60268.17598,25631.28927,22289.70772,25863.30909,89472.71343,16067.87159,36211.1782,2347.208547,491.5617961,9927.494823,12528.00234,352.512,70711.83381,26197.39314,4541.368449,341.0847719,24269.00987,2118.560616,2735.293774,34695.34523,7936.710984,4970.772504,137181.0024,3591.964958,36700.09838,21281.22685
2289,243.1218759,3.53550375,8.733,66.3145,5.978,19.80677866,23.968,172.8900454,20.235,13.419,17.6375,547.35,28.4925,22.47,27.83735596,13.115,60.306,57,19.975,17.8365,1868.237024,21.3345,46.624,328.8620452,31.24,130.6749263,79.82876587,15.8045,956.1814419,771.7121858,26.909,1031.425038,29.59,50.998,14.289,36.84405981,92.72438507,66.543,312.708,152.5808594,16.8665,30.456
2290,311.2210926,8.428407456,20.4,152.128,4.4625,97.76510556,22.32,119.597062,19.412,18.99,16.497,74.7655,17.103,45.58,22.5,353.1128965,7.455,51.333,44.52,15.1585,65.172,150.579,142.270059,368.5114028,21.681,143.9855057,290.5449668,141.973,108.0070835,770.2827156,39.094,22.44,20.07409296,375.4716074,25.347,31.13184619,26.108,0,303.398,7625.342676,0,70.0225
2291,596.3218043,5.563862745,21.675,0,9.9405,37.611,61.7775,17,18.318,5.551,8.094,5.325,18.1475,15.734,7.242,32.164,0,30.795,77.525,0,7.128,0,27.9335,237.6718621,30.4155,9.63,112.2739942,16.4865,655.7485974,11.93007684,17.577,0,38.4175,120.012,16.544,0,28.3965,47.24,837.7648623,280.4955284,34.4665,83.89433838
2292,570.2664335,4.048810684,16.96,12.325,0,15.05,110.1243634,17.16,24.1255,10.7,13.6,7.881,13.545,5.112,33.705,23.87,7.686,48.611,33.23542407,6.976,14.74015045,26.23,18.144,694.6702383,19.929,36.946,3003.872257,6.076,961.3730786,87.79737415,62.3325,12.37805228,20.928,1797.513649,39.1645,60.9,36.584,31.3,256.4891563,727.7887764,13.8125,15.225
2293,329.2341713,5.491814167,111.75,918.0300098,14.805,380.4506974,181.012,10650.80645,43.992,43.77722113,20.56279431,440.4836013,226.01879,496.1581522,461.4112284,4396.665147,631.6380522,299.6143114,1149.760234,32.799,721.722458,592.4097534,2324.365943,284.7408809,100.3173387,2910.900803,5581.934723,88.056,256.7549525,8100.219866,134.8231702,48.42306152,75.509,180.7920808,261.3433616,545.8068633,318.63,187.8760887,3443.2305,37422.29643,187.1644177,1795.932378
2294,243.1253643,3.612851282,9.35,9.821,25.0245,35.524,13.696,71.535,15.372,13.845,12.141,134.078,25.606,16.05,25.6245,41.71,0,46.008,8.991477585,15.12,50.86363623,12.626,29.2275,376.6037198,31.24,104.7097431,62.054,22.338,1312.331175,755.33115,25.0436272,134.259,16.35,101.6616191,14.289,36.84405981,137.521,27.6615,407.8058026,44.6435824,66.11,16.07694855
2295,329.2325116,6.279697863,8.904,21.0375,20.86,95.04191455,32.9375,293.2958928,47.729,13.78,12.52621875,63.783,27.328,93.54788354,33.871,78.435,12.012,70.70808691,36.5605,12.744,202.4643867,41.4785,24.708,1128.863346,20.257,56.9925,10797.60372,16.401,108.6432639,511.9496328,93.55088457,24.849,16.091,94.169,33.75,31.35774475,33.4195,0,71.336427,1210.131088,1189.187986,84.48272729
2296,293.2120715,12.0799775,9.9405,82.95742187,10.388,30.175,36.49820636,132.2703921,22.2075,18.357,41.4375,42.9675,46.34127136,128.3091196,9.97788916,33.6625,45.4725,66.278,130.9185,27.7065,14.348,181.1006088,560.5215129,307.9739585,17.81618994,31.58232983,681.404,85.446,51.884,1424.89688,38.64217749,35.062,5.724,1944.904971,62.66679788,90.89,44.80455957,99.78745312,555.682342,67592.18453,673.3366589,295.474
2297,327.2169257,6.95049693,8.883,114.906,9.1805,16.575,19.975,71.00036926,20.888,20.352,16.748,198.063,57.28,17.0735,34.932,3676.502334,102.098562,241.4649979,24.5525,17.44418893,140.6395,24.824,180.9615669,386.0792126,13.33,26.892,164.6650146,12.993,232.9896808,245.0089557,37.746,48.285,49.938,200.8065591,46.519,78.624,64.26,0,71.82,10128.65629,558.2975,0
2298,245.0912531,3.264111616,12.1125,0,24.282,31.82,12.1695,98.25051941,6.405,11.076,3936.756909,0,20.3205,5.805,0,109.8539404,18.024,13.115,0,48.92988268,156.783,0,67.0625,211.5595169,21.06,45.95076395,69.993,23.108,0,14.405,3285.235811,1464.569357,41.7873075,0,5.616,21.087,18.137,5203.901325,164.164,5.375,5.512,137.5995
2299,580.3219526,6.892920175,31.8,10.8375,6.832,10.914,57.63666016,190.6831019,38.916,8.217,10.224,33.877,19.716,8.307,81.4015,16.05,32.085,26.838,67.2525,8.151,23.308,6.39,9.416,199.1649122,18.19,7.881,75.14394507,5.112,259.1960084,78.93061414,29.445,0,18.876,1325.24284,20.5975,8.815,16.6005,0,1041.692672,17259.85179,94.39506198,550.7858934
2300,309.2065862,8.573106838,19.96,60.58861963,7.8225,26.288,32.692,50.5485,20.678,0,7.65,9.917,21.8875,68.0665,27.565,59.8675,8.075,115.1317376,150.7876501,18.361,21.836,30.545,220.4072579,355.6701917,7.455,30.806,104.7026179,51.345,33.84,53.286,20.806,20.8065,27.903,180.2605103,32.956,13.482,28.917,96.264,131.7487163,8682.671728,156.492,36.315
2301,311.2220567,7.266268376,8.52,30.6,25.016,4464.835414,134.8845,2722.98505,18.65,13.0375,44.938,28.832,18.868,61.23492969,117.4482208,30.186,0,16.536,47.912,26.6975,15.9375,117.114,56.89892188,669.9125758,18.361,630.023384,238.7376997,2943.138996,162.799,243.4730532,71.7935,92.7675,6.465,1102.891672,31.36912354,96.841,49.266,98.8185,917.2731201,8437.337023,100.57,40.557
2302,311.2215216,7.7495975,50.501,652.9984771,22.35,976.561,44.57463037,1687.324439,19.7625,26.646,8.692,102.465,75.189,565.6542145,53.283,670.3767103,18.00591202,66.185,122.0437103,20.661,28.424,443.1346245,74.124,192.7866283,15.264,685.9753629,434.0996444,84.0205,406.3868151,4849.793024,38.403,145.287,20.916,3051.38466,183.9222324,55.848,136.682,194.9765,98.72604639,2172.096598,153.914,468.743
2303,327.2146506,6.135938034,20.0925,66.87206799,15.1585,28.8615,21.298,199.9511837,15.762,14.271,15.2725,75.846,21.726,11.289,19.2705,76.254,11.7975,191.4825842,35.92048889,48.3885,28.81,175.4585,154.8735,336.0647446,17.8035,34.912,589.1187618,21.1365,1058.860654,672.5702043,42.534,20.05660364,52.354,282.532,24.849,24.624,64.8675,98.8715,39.96,1375.727983,0,137.2
2304,173.0805025,2.86929875,201.055,119.1392677,14.518,69.66,26.36942606,175.1998224,33.94480469,30.174,26.9375,209.5477948,47.196,112.445,36.204,133.7975,25.99841071,40.184,56.319,90.169,458.1622878,117.156,101.8424373,399.4175,133.7572924,241.3265012,86.764,154.3887375,209.3157012,1096.892581,65.58462305,1900.243,88.35675854,571.7489889,36.805,91.751,1634.298577,89.7755,111.84,213.6118442,254.1118091,181.5453787
2305,266.1494379,1.53475,28.165,0,23.387,178.351632,11.206,13.2675,0,16.416,97.44,0,9.24,32.78825372,7.429,48.53,13.237,0,9.009,224.788374,73.71,44.919,540.596834,200.2076843,97.29,357.6000707,11,3.96,0,112.0506636,193.6425242,26.845,175.8703877,15.94836853,11.88,6.264,186.4530043,223.2636826,1278.458081,23.795,10.4615,208.0825
2306,295.2281263,11.33160315,12.96878687,93.571,30.132,509.650546,40.146,223.853,24.0125,0,6.345,57.12,75.92687671,280.2965957,33.575,378.8627103,37.888,61.637,139.1497402,14.5275,88.98872626,247.9264771,249.8062177,348.681228,8.075,134.596,210.2956768,146.178,10.388,292.7460409,12.084,57.98,10.011,119.133,62.1285,182.71,10.675,31.5795,1093.668115,1050.88475,0,0
2307,564.3313944,11.36310307,8.229,64.341,26.1375,23.632,52.148,22.95,78.642,12.4785,18.93908661,0,14.628,115.7358149,29.61,115.3381377,62.475,259.8487979,289.64,117.04,17.343,10.965,13.7455,517.1103745,19.688,10.128,139.5245047,36.166,40.599,13.78,19.3375,0,136.694,414.0264839,206.2808911,48.792,17.425,123.9025,2395.697694,2527.439545,84.924,466.7619324
2308,856.5348223,16.08102157,29.96,64.4215,106.656,96.32,29.025,94.76586157,17.7045,0,0,12.818,74.1455,50.5845,45.6025,18.224,30.4125,58.5125,97.28352832,48.2655,0,13.4375,35.1985,981.3593643,141.9225,32.13,24.516,0,67.123,144.846,10.78,39.039,197.424,293.0395078,74.4965,44.037,308.6875,0,0,16371.82159,65.2925,101.608
2309,309.2050898,6.88352,9.372,84.835,5.964,929.7668787,20.988,3992.617997,58.773,20.825,8.307,15.9,29.96,16.4395,153.045,13.419,18.207,46.38358086,22.4175,14.19871729,16.226,48.36048901,75.0125,205.5884028,22.5225,15.0875,2279.08992,482.1935702,63.20710242,372.6731156,55.8675,147.001,15.729,65.9005,28.429,33.53047302,42.5445,44.84,172.207,2269.773,81.94,163.88
2310,856.534245,15.8700619,34.91836523,16.065,129.69,29.155,28.95,281.6259668,23.54,17.14,0,31.506,74.1455,84.309,22.533,24.633,25.1685,58.5125,304.2519865,12.351,29.124,13.975,92.28,642.2948691,0,26.215,0,41.184,0,173.6805,42.003,39.039,70.215,791.7525,74.4965,44.037,308.6875,88.172,118.386,60053.69561,0,46.7805
2311,327.2172963,5.508530833,10.998,37.516,16.7625,209.5378588,16.692,110.313,68.5665,27.8375,27.229,103.4671528,146.5430118,24.282,22.96947537,63.59391302,20.57,219.9402489,624.0076785,20.952,1986.374044,124.0485,229.5405,603.4635955,21.55,3866.082441,2023.899727,180.7256373,125.0955,3193.571153,60.18,31.169,36.635,48.95715625,2059.11955,42.56,91.7525,26.572,39.3195,2669.38882,25.1895,50.568
2312,327.2161996,5.275893162,74.3506557,18.591,15.123,5851.218116,37.948,364.322,62.02490515,71.6225,16.112,835.5784467,603.0475942,35.668,110.3294249,891.5892197,28.863,3798.116896,8250.069423,70.086,8839.798433,17.12,240.1935,367.1941061,118.379,15882.63385,314.7643129,520.9940846,35.959,11523.50797,55.072,75.23753879,36.635,2553.002048,10177.33035,61.045,0,111.202,361.1174974,21499.84554,37.206,147.1771704
2313,275.1030855,2.134589583,756.2679888,1109.99457,172.256468,205.6426379,320.5147151,2898.012053,1384.111933,202.1458701,1311.433543,193.0025449,3075.502241,1438.006345,1118.931395,2184.728395,563.3545703,2429.809001,707.6258281,48.26453687,143.092706,2104.018589,926.5980352,636.5553257,2199.315857,188.46,2088.812093,882.213,1231.958694,110.8224768,775.5274536,4467.014338,2898.405862,1013.81013,175.2635815,81.51,103.3275,4360.340149,294.1746497,613.2185107,982.4467739,5879.050395
